consumo ingreso
0.615986218 0.972261043
0.46037569 1.169084717
0.876791423 1.55327055
-0.274245141 -0.255272381
1.897370758 1.987153628
0.911992909 1.447334175
0.794538845 0.531811929
1.648587467 1.160125137
1.313722178 0.457011505
1.891474954 1.016624409
1.530714 1.904101264
2.318294715 3.890258661
1.81073916 0.708252663
-0.041739961 0.79430954
0.354235565 0.433818275
-0.291632155 1.093809792
-0.877027936 -1.661684821
0.351135548 -0.938353209
0.409597702 0.094487794
-1.475808634 -0.122595985
0.832257616 -0.163695461
1.65583461 4.536509557
1.419420294 -1.463765323
1.054379319 0.761663507
1.979980236 1.168257614
0.913916067 0.517299061
1.055323256 0.733700255
1.298898253 0.594583387
1.136375865 -0.031080031
0.549940731 1.238089553
0.949852624 1.518802926
1.49599724 1.914562403
0.57549599 0.702666874
2.111209598 0.983141318
0.417962788 0.719926198
0.797927101 0.785536049
0.505845978 1.057559464
-0.057753395 -0.867651048
0.977300104 0.471003402
0.268269822 0.440379744
-0.153918751 0.338276858
-2.274110188 -1.463885067
1.071881234 1.213015071
1.316449412 1.942438646
0.524727703 -0.268134056
-0.01728203 -0.023630251
0.401651498 2.026801832
-0.752876197 0.195606284
0.659383756 0.119698877
0.368541731 0.575489969
0.769544638 0.5348441
1.808760062 0.449383114
0.968029536 0.855884249
1.959468308 0.706327192
1.739494415 1.498109989
1.563893321 2.131389109
0.845264424 2.02348788
1.415044947 1.649211363
0.765466077 1.361638451
1.313800619 0.819273186
1.686553201 -0.238957592
0.934369895 1.906779055
1.90256675 -0.335362834
0.256565652 1.14181151
0.843042787 1.239511103
1.111773898 1.319385489
1.794994057 0.704771501
0.637684461 0.179779252
0.015693968 0.819733663
1.377316859 -0.975057912
1.152257124 1.80185055
0.210164388 1.32743427
1.763160259 1.448618751
0.730537137 1.020848942
0.850832326 0.958203359
1.137898379 0.962070239
0.460641524 1.226930232
0.469378076 -0.294890912
0.989501453 0.678228974
0.439427666 0.80025832
0.855434173 0.839394835
0.312304512 0.595728478
0.40261313 0.03740765
-0.759107163 -0.79479735
-0.345350076 0.211832904
0.835642235 0.690433559
0.484398434 0.362051813
-0.026265792 0.851003244
1.859969993 2.124210667
0.683543712 1.04095059
1.076612141 0.435620406
1.183723956 0.34210852
0.378179361 0.558771864
0.893927288 0.176271033
1.098137664 0.058688031
0.881220253 0.654963526
1.14064791 0.698465785
0.771762246 1.053671655
0.772143643 0.592473769
1.070148048 1.381106606
0.264205052 0.948735276
0.893111409 0.227806352
0.912647021 0.889570063
0.700254253 0.575919976
0.923609672 0.952556633
1.079978873 0.951617911
0.600557985 0.793697379
0.782981223 0.520357459
1.049492533 0.998585523
0.452198553 0.85103564
1.696542639 1.183522219
1.180627971 1.423257417
1.026936255 2.107530518
1.750693993 1.387671329
1.305969774 1.014644275
1.458886148 0.808930324
0.948211911 0.891731745
1.469714146 0.247221853
1.129214355 0.667292262
1.457488951 1.460922421
1.511067591 1.950613352
0.955088776 1.031743486
0.967976475 1.161786679
0.886297381 0.337253432
0.421590863 0.848658258
0.256899818 -0.088181483
0.363810837 2.336789199
1.516303214 -1.244433525
0.299582571 2.403314188
0.508990316 0.505598766
0.696672411 -0.128281941
0.536343065 0.479419266
0.438261691 0.278340261
1.107190856 1.437294453
1.463778819 1.625449475
0.773340456 0.403538639
0.967685345 0.726531616
0.647606074 0.980567459
0.951171668 0.524501133
1.020417017 1.242387061
0.761725559 -0.968270072
1.081365878 0.788354672
0.771864939 0.511369491
0.375914847 0.821918428
1.11522822 2.259044738
0.531005543 0.149878134
0.582087468 0.284907219
1.014343893 1.300591618
0.524861836 0.653739931
0.338741187 0.192608703
0.443918753 0.262387319
0.125055845 0.083929375
-0.206525482 0.71926565
0.16783443 2.086937749
-0.724994462 -2.3261186
-1.210685584 0.640195342
-0.343543699 -0.188888489
-0.451743641 0.708993682
0.604913319 -1.1034318
-0.011150137 -0.132131931
0.5348174 0.100949855
0.810404062 1.292292588
0.64501881 0.496780984
1.018338739 0.694952292
0.500413148 1.215715023
0.201419784 -0.15658108
0.43372599 0.52891255
0.335938954 0.060747192
0.601089953 1.62204885
0.169429564 0.766895432
0.26416034 -0.050714517
0.278771861 2.591066966
0.468612916 -4.265250465
0.205458025 0.58146541
0.466417872 0.583289124
0.839173667 0.214948957
0.473451177 1.103694866
0.933756976 1.293904923
0.916871775 0.998533963
1.125332501 1.046418013
0.596240045 0.490406802
0.708143887 0.954959489
0.664969559 0.801662673
0.561679779 0.740062599
0.404682163 0.5190254
1.047707406 0.723720782
0.729597795 0.644700809
